applicant_id,year,month,total_inflow,total_outflow,txn_count,unique_counterparties,inflow_volatility
13,2024,2,679037.91,510155.35,188,11,0.0991
13,2024,3,569856.84,351080.31,219,26,0.2406
13,2024,4,552031.23,404979.71,166,24,0.3188
13,2024,5,487811.0,340705.1,169,53,0.0233
13,2024,6,499070.4,449265.4,100,41,0.2692
13,2024,7,581344.08,376803.01,130,19,0.2535
13,2024,8,497705.73,431949.83,90,35,0.3889
13,2024,9,459831.63,394412.15,114,44,0.0483
13,2024,10,526477.49,386366.94,88,44,0.2014
13,2024,11,539599.8,443577.33,181,11,0.1657
13,2024,12,583391.16,528629.14,82,39,0.034
14,2024,1,825461.86,702352.16,150,48,0.2564
14,2024,2,848579.52,755776.36,97,38,0.2313
14,2024,3,768420.22,666700.59,171,36,0.001
14,2024,4,951740.75,628254.25,145,23,0.1579
14,2024,5,888680.62,743317.23,91,46,0.0557
14,2024,6,896926.75,736791.29,42,10,0.2803
14,2024,7,981036.47,814476.08,55,22,0.3283
14,2024,8,816086.87,524743.02,30,45,0.039
14,2024,9,825376.45,558659.79,92,43,0.0833
14,2024,10,963900.23,614985.8,64,20,0.0162
14,2024,11,837842.62,753116.75,125,25,0.0311
14,2024,12,946138.04,603408.17,94,27,0.3377
15,2024,1,535013.22,377758.74,158,47,0.0326
15,2024,2,471281.67,415543.08,78,43,0.0379
15,2024,3,404990.11,307139.92,163,6,0.0292
15,2024,4,412434.37,295632.73,148,32,0.2079
15,2024,5,444134.24,424949.04,169,47,0.0068
15,2024,6,409496.54,337439.47,34,16,0.0837
15,2024,7,456808.54,368258.4,179,40,0.0034
15,2024,8,416718.64,364667.95,127,17,0.0539
15,2024,9,443695.1,275438.56,117,7,0.1264
15,2024,10,503998.41,377250.64,68,32,0.0524
15,2024,11,444801.87,360334.01,76,29,0.1466
15,2024,12,408804.07,313682.92,97,31,0.1418
16,2024,1,554014.25,518298.03,48,43,0.0955
16,2024,2,674988.3,546655.89,55,27,0.1013
16,2024,3,712026.36,520320.58,73,17,0.0417
16,2024,4,716878.84,666580.97,88,48,0.2506
16,2024,5,563723.04,348781.48,67,45,0.0208
16,2024,6,567396.23,508110.73,52,25,0.0422
16,2024,7,632817.07,394437.72,130,26,0.2419
16,2024,8,680867.51,618375.92,52,57,0.3128
16,2024,9,655974.13,590750.81,71,46,0.179
16,2024,10,560309.55,395764.95,137,24,0.0002
16,2024,11,607070.19,464745.56,89,45,0.2389
16,2024,12,677337.72,419419.38,62,34,0.283
17,2024,1,738220.7,530243.07,60,14,0.1442
17,2024,2,634717.68,498176.93,99,39,0.044
17,2024,3,611004.88,534694.48,112,18,0.0509
17,2024,4,607542.98,417699.03,194,8,0.1491
17,2024,5,626820.4,459604.79,101,10,0.0697
17,2024,6,511044.67,353038.64,137,16,0.1955
17,2024,7,546628.96,341196.11,30,43,0.015
17,2024,8,653983.85,513456.11,59,25,0.3705
17,2024,9,553904.98,473183.13,62,31,0.213
17,2024,10,564977.65,415492.11,111,46,0.205
17,2024,11,498483.65,357805.23,94,45,0.0959
17,2024,12,606623.73,523303.33,203,40,0.1098
18,2024,1,937139.78,616031.37,143,54,0.1171
18,2024,2,792114.53,623231.05,142,28,0.0584
18,2024,3,886595.53,639169.64,151,40,0.2944
18,2024,4,723219.99,612613.17,51,21,0.1264
18,2024,5,778368.03,639501.14,93,38,0.0253
18,2024,6,945802.16,824878.24,177,12,0.0367
18,2024,7,728280.68,610748.02,137,34,0.0389
18,2024,8,780205.28,514793.54,88,20,0.2154
18,2024,9,776928.01,542372.37,166,28,0.015
18,2024,10,1680275.49,1225334.8,98,13,0.2148
18,2024,11,1407552.52,969259.84,132,11,0.2265
18,2024,12,1608712.92,1108305.81,212,38,0.2193
19,2024,1,390076.05,281825.46,145,26,0.1214
19,2024,2,486033.72,378185.57,81,41,0.3866
19,2024,3,460479.26,338121.29,199,18,0.0633
19,2024,4,408220.96,313484.22,44,40,0.174
19,2024,5,383346.7,350034.64,120,20,0.1507
19,2024,6,499245.43,479549.22,187,15,0.1771
19,2024,7,389731.61,255925.14,66,38,0.0874
19,2024,8,478979.26,356310.44,28,51,0.2314
19,2024,9,381402.23,281922.33,98,9,0.1527
19,2024,10,777498.76,624752.19,153,24,0.0603
19,2024,11,809777.56,572381.09,190,11,0.0374
19,2024,12,802402.65,716058.6,54,12,0.2547
20,2024,1,1316919.14,794481.33,85,37,0.1143
20,2024,2,1503687.38,1126123.24,147,29,0.1948
20,2024,3,1600216.35,1334692.4,107,35,0.1363
20,2024,4,1609873.69,1129407.99,62,11,0.0842
20,2024,5,1234500.84,1047446.86,67,30,0.0175
20,2024,6,1571546.4,1254375.6,64,33,0.2755
20,2024,7,1270537.78,910330.61,164,23,0.091
20,2024,8,1429631.38,1150919.6,139,20,0.3719
20,2024,9,1246987.61,920595.13,168,9,0.0298
20,2024,10,1456801.49,1063118.11,76,29,0.1192
20,2024,11,1255533.25,1134833.04,80,56,0.1975
20,2024,12,1315328.47,815494.52,76,27,0.3701
21,2024,1,1352503.31,1173977.59,61,48,0.0514
21,2024,2,1207760.01,1004523.31,154,33,0.1489
21,2024,3,1520498.78,1281059.85,79,56,0.0071
21,2024,4,1532506.79,1394412.53,50,37,0.4089
21,2024,5,1242271.02,968408.45,172,38,0.2436
21,2024,6,1198962.9,1092670.57,147,42,0.1561
21,2024,7,1457722.34,1191141.04,59,35,0.2174
21,2024,8,1500542.35,988302.16,212,11,0.0725
21,2024,9,1411781.56,1163064.05,43,15,0.017
21,2024,10,1407022.71,954181.15,161,21,0.0224
21,2024,11,1535319.46,1388089.75,78,47,0.1569
21,2024,12,1328936.03,1109688.59,143,44,0.0536
22,2024,1,368640.98,353514.99,112,24,0.0455
22,2024,2,476631.93,361242.73,200,19,0.1457
22,2024,3,390336.67,268794.85,89,50,0.16
22,2024,4,456890.0,312794.37,137,29,0.1345
22,2024,5,453742.71,387101.5,185,22,0.2314
22,2024,6,431238.0,358057.96,197,26,0.0333
22,2024,7,451622.14,333649.84,197,22,0.095
22,2024,8,454648.42,411397.72,123,53,0.0385
22,2024,9,434559.36,385417.83,25,24,0.1645
22,2024,10,891028.84,788607.12,71,39,0.0772
22,2024,11,767719.07,554225.17,94,44,0.1278
22,2024,12,790458.19,557767.82,83,47,0.001
23,2024,1,1490587.87,1323391.24,79,35,0.2499
23,2024,2,1308385.1,860086.05,77,34,0.0188
23,2024,3,1519395.9,1423365.5,298,16,0.0811
23,2024,4,1384535.25,1130629.69,164,24,0.0847
23,2024,5,744355.54,474808.32,134,21,0.2475
23,2024,6,997228.69,883422.24,195,48,0.0589
23,2024,7,865973.09,663451.11,176,20,0.0166
23,2024,8,840289.82,671252.92,168,14,0.2119
23,2024,9,1317744.77,846846.52,85,6,0.4086
23,2024,10,1194370.78,945734.0,210,32,0.1238
23,2024,11,1624950.52,1569638.72,243,55,0.2836
23,2024,12,1639561.98,1494025.46,140,41,0.4916
24,2024,1,1538268.23,1059929.34,49,54,0.0703
24,2024,2,1267322.26,1130103.24,141,39,0.092
24,2024,3,1364214.61,1284404.4,125,7,0.0606
24,2024,4,1524941.14,1012448.84,137,7,0.1029
24,2024,5,1490472.62,989108.18,35,38,0.3288
24,2024,6,1428466.11,1124980.81,201,43,0.0214
24,2024,7,1323151.68,1061445.46,78,35,0.179
24,2024,8,1358391.03,1117827.65,21,35,0.0723
24,2024,9,1285390.7,864463.82,124,31,0.0876
24,2024,10,1383325.28,1158993.49,54,34,0.0128
24,2024,11,1189198.55,784094.77,109,45,0.0936
24,2024,12,1196854.24,827085.32,74,42,0.2271
25,2024,1,848460.22,611109.78,178,31,0.1021
25,2024,2,802306.27,683005.36,26,18,0.0827
25,2024,3,1067479.7,796658.71,101,7,0.1739
25,2024,4,1065262.03,718006.27,59,13,0.0152
25,2024,5,1041754.4,967355.82,137,48,0.1682
25,2024,6,838418.75,708469.07,24,34,0.0357
25,2024,7,1061042.73,918757.7,82,18,0.2199
25,2024,8,936481.66,797481.43,185,55,0.0627
25,2024,9,950631.4,696112.77,41,28,0.0262
25,2024,10,1026428.87,676976.23,92,54,0.1829
25,2024,11,1024551.36,960468.65,186,9,0.0318
25,2024,12,944827.78,759488.97,91,26,0.0129
26,2024,1,579090.69,404812.57,95,20,0.1696
26,2024,2,599095.04,477834.72,202,43,0.1105
26,2024,3,623388.02,466716.33,201,19,0.252
26,2024,4,613157.3,528348.31,29,16,0.01
26,2024,5,670207.04,427909.21,201,38,0.1629
26,2024,6,623437.7,549783.83,202,48,0.23
26,2024,7,512919.05,334206.37,117,6,0.1626
26,2024,8,663169.71,388643.15,187,50,0.3207
26,2024,9,674248.27,591921.21,195,6,0.1054
26,2024,10,655692.47,493913.82,195,29,0.3228
26,2024,11,655116.47,549194.72,160,22,0.0434
26,2024,12,644182.06,501556.63,145,24,0.4176
27,2024,1,923304.63,634652.6,42,45,0.1543
27,2024,2,997389.88,700420.15,212,23,0.222
27,2024,3,823413.91,632575.69,38,48,0.2816
27,2024,4,879732.41,595076.09,104,8,0.0413
27,2024,5,968233.14,660349.59,181,16,0.023
27,2024,6,905885.45,580679.94,162,11,0.1316
27,2024,7,832185.75,694813.83,76,55,0.0409
27,2024,8,918332.56,653296.14,75,6,0.1812
27,2024,9,799550.06,659811.7,160,7,0.0883
27,2024,10,786088.38,704260.77,127,23,0.0658
27,2024,11,911585.57,627182.04,89,9,0.1151
27,2024,12,896830.17,814834.08,42,15,0.2462
28,2024,1,880108.44,757843.96,164,31,0.0223
28,2024,2,1084191.18,919888.9,88,48,0.0092
28,2024,3,1136065.79,745237.51,95,12,0.2796
28,2024,4,1160197.44,1040338.22,27,35,0.4489
28,2024,5,996963.92,849674.64,60,26,0.1156
28,2024,6,985220.66,752338.19,97,21,0.3855
28,2024,7,956422.24,723174.88,54,12,0.2041
28,2024,8,1057326.05,897986.9,124,37,0.3868
28,2024,9,1052686.46,684803.45,41,31,0.2288
28,2024,10,1046509.61,628258.42,123,11,0.1246
28,2024,11,1014391.6,668818.11,145,23,0.0637
28,2024,12,1028275.67,666453.04,163,13,0.3457
29,2024,1,467487.06,314871.24,85,49,0.0718
29,2024,2,443257.33,371969.06,22,35,0.2051
29,2024,3,465538.34,343645.03,62,10,0.1768
29,2024,4,472692.63,392621.07,118,33,0.0199
29,2024,5,370673.24,307136.94,41,23,0.0352
29,2024,6,427612.61,342641.66,146,54,0.0404
29,2024,7,441701.26,286106.53,163,10,0.0334
29,2024,8,360373.95,312652.24,160,27,0.163
29,2024,9,470765.58,462087.93,136,53,0.1429
29,2024,10,374897.25,261504.37,41,55,0.0629
29,2024,11,442337.16,406843.49,155,39,0.1147
29,2024,12,359868.92,325453.06,43,37,0.0618
30,2024,1,541435.04,497912.97,215,6,0.2239
30,2024,2,489099.87,307894.9,166,21,0.5047
30,2024,3,559886.25,378824.23,161,30,0.0173
30,2024,4,457433.4,285038.12,144,22,0.5954
30,2024,5,740765.54,641745.09,131,51,0.0807
30,2024,6,389626.28,373335.57,29,32,0.2251
30,2024,7,534471.33,352544.72,191,8,0.219
30,2024,8,709555.61,641681.45,33,6,0.3826
30,2024,9,750656.2,591559.8,216,43,0.5459
30,2024,10,443534.8,364149.88,101,7,0.0491
30,2024,11,458002.6,390972.39,14,7,0.0765
30,2024,12,1246758.22,980477.5,128,40,0.2583
31,2024,1,315319.77,202293.58,39,34,0.0277
31,2024,2,328949.57,245904.64,44,34,0.1222
31,2024,3,335462.84,255169.08,99,46,0.1148
31,2024,4,371264.79,261957.62,36,7,0.0583
31,2024,5,348291.93,293575.46,36,42,0.347
31,2024,6,285330.03,239505.65,74,38,0.1187
31,2024,7,283146.97,202551.18,87,38,0.1547
31,2024,8,307328.03,282825.06,118,6,0.1005
31,2024,9,322121.12,255707.04,170,48,0.2326
31,2024,10,290589.32,248673.83,21,10,0.0025
31,2024,11,373376.58,303557.81,25,43,0.1938
31,2024,12,294674.27,184558.26,42,16,0.2779
32,2024,1,486806.44,457075.9,54,29,0.1427
32,2024,2,385148.26,345800.87,136,7,0.4987
32,2024,3,609317.16,415974.66,212,39,0.4711
32,2024,4,384286.44,321173.36,68,8,0.314
32,2024,5,471508.34,414872.17,152,25,0.5008
32,2024,6,567084.05,375187.07,64,40,0.3841
32,2024,7,919903.86,889874.12,202,28,0.3357
32,2024,8,499759.85,429863.19,56,28,0.398
32,2024,9,851933.71,654859.01,36,23,0.3003
32,2024,10,897364.24,756127.41,219,16,0.0204
32,2024,11,1552633.74,1043072.06,263,6,0.1806
32,2024,12,1162442.14,739714.66,87,51,0.1679
33,2024,1,1073484.5,927334.67,139,11,0.091
33,2024,2,1066062.37,766686.68,104,33,0.0016
33,2024,3,908197.76,562668.77,127,32,0.2211
33,2024,4,874922.22,720575.39,113,32,0.1719
33,2024,5,911885.41,648307.28,94,10,0.1742
33,2024,6,1086281.67,850551.61,85,38,0.079
33,2024,7,1016178.86,830811.66,81,34,0.0602
33,2024,8,998462.71,867426.66,152,9,0.2896
33,2024,9,851524.0,557354.1,164,17,0.2342
33,2024,10,952708.89,821374.95,115,30,0.0764
33,2024,11,947821.57,640126.86,161,21,0.199
33,2024,12,901822.11,748898.62,27,38,0.0384
34,2024,1,387061.18,254594.17,161,25,0.1084
34,2024,2,361731.84,313716.72,120,37,0.1233
34,2024,3,364378.88,285274.07,107,5,0.0253
34,2024,4,473237.29,302199.38,130,50,0.0295
34,2024,5,394976.08,314225.8,45,14,0.0324
34,2024,6,392303.55,246341.7,23,34,0.2151
34,2024,7,424191.17,304826.57,27,45,0.1705
34,2024,8,431597.01,384220.16,144,50,0.0288
34,2024,9,405060.02,253906.07,116,40,0.0289
34,2024,10,386734.35,252269.16,100,40,0.091
34,2024,11,417353.57,315297.03,183,27,0.1621
34,2024,12,478214.03,288149.75,22,5,0.1136
35,2024,1,168634.72,100625.51,140,40,0.046
35,2024,2,206442.23,175210.28,80,31,0.2593
35,2024,3,155652.23,96353.68,87,56,0.1653
35,2024,4,188304.93,180899.59,185,40,0.0612
35,2024,5,159862.93,135861.51,158,32,0.2911
35,2024,6,157187.47,128606.05,79,17,0.1273
35,2024,7,177222.63,130825.73,21,48,0.3968
35,2024,8,192276.75,158875.68,72,41,0.0227
35,2024,9,163959.09,142234.36,180,7,0.2195
35,2024,10,191899.35,171960.39,163,14,0.0502
35,2024,11,173685.02,154789.18,83,49,0.0276
35,2024,12,188446.26,141034.29,90,54,0.0666
36,2024,1,547088.49,453420.58,215,8,0.3213
36,2024,2,480497.78,385814.63,177,23,0.3596
36,2024,3,454259.28,290936.15,153,43,0.2691
36,2024,4,431589.9,379552.75,182,53,0.0843
36,2024,5,402034.72,316702.56,66,35,0.0853
36,2024,6,431047.85,326628.38,185,25,0.1272
36,2024,7,399549.69,344357.59,83,25,0.2683
36,2024,8,391280.4,362825.72,53,5,0.233
36,2024,9,397334.37,244380.42,33,42,0.1328
36,2024,10,401793.08,262667.55,24,5,0.2558
36,2024,11,359385.03,299820.7,59,46,0.0047
36,2024,12,420345.54,293048.41,60,25,0.2189
37,2024,1,791018.3,485782.94,33,15,0.1787
37,2024,2,608148.85,460339.87,143,30,0.0785
37,2024,3,1073227.22,788968.21,47,31,0.0526
37,2024,4,370079.57,322672.25,113,27,0.3394
37,2024,5,495460.81,446124.48,61,45,0.3429
37,2024,6,312562.25,208893.88,82,46,0.5011
37,2024,7,701794.48,545390.18,103,49,0.5532
37,2024,8,857038.2,688145.64,102,11,0.38
37,2024,9,566723.13,349299.1,158,13,0.6456
37,2024,10,1923698.79,1597944.49,88,21,0.3124
37,2024,11,925913.18,713698.37,146,8,0.2707
37,2024,12,1131495.23,840502.53,25,30,0.1834
38,2024,1,695147.42,520560.49,76,19,0.2609
38,2024,2,1050994.09,810852.68,176,37,0.7858
38,2024,3,773968.95,629091.78,71,47,0.2939
38,2024,4,1663184.42,1096305.79,184,13,0.3741
38,2024,5,733217.43,589643.57,20,34,0.1662
38,2024,6,557134.69,487590.33,95,48,0.0707
38,2024,7,811734.51,620600.69,28,23,0.0488
38,2024,8,751479.65,484757.26,120,8,0.2071
38,2024,9,1942639.72,1511309.95,277,40,0.3241
38,2024,10,629086.52,490057.03,92,6,0.4542
38,2024,11,1862523.28,1386860.2,301,32,0.0346
38,2024,12,1803002.98,1527532.59,79,29,0.0663
39,2024,1,1058089.8,618274.37,37,38,0.1789
39,2024,2,1006989.44,791467.75,187,18,0.1509
39,2024,3,921318.25,681403.68,103,25,0.1837
39,2024,4,1693329.86,1396815.5,209,21,0.0144
39,2024,5,1131792.35,816098.19,151,14,0.278
39,2024,6,1162656.93,858462.99,214,28,0.4637
39,2024,7,894469.61,796595.28,84,16,0.1151
39,2024,8,1650735.29,1099814.7,121,33,0.0122
39,2024,9,1200532.18,880748.31,150,13,0.5032
39,2024,10,764222.42,691956.59,40,34,0.0997
39,2024,11,815873.99,613437.85,100,25,0.18
39,2024,12,1749071.77,1622076.1,36,15,0.2057
40,2024,1,933017.31,890763.29,68,26,0.2504
40,2024,2,1082538.74,872996.97,102,9,0.1499
40,2024,3,906507.2,762581.82,165,17,0.0697
40,2024,4,1066662.9,869921.25,203,24,0.3608
40,2024,5,899773.93,720077.48,92,16,0.0067
40,2024,6,960784.35,829273.79,121,17,0.0493
40,2024,7,1032601.5,890522.99,142,40,0.0751
40,2024,8,880513.48,650743.44,160,14,0.3154
40,2024,9,850978.26,546550.94,35,14,0.0781
40,2024,10,1410925.88,858660.94,135,27,0.0026
40,2024,11,1595627.65,1174512.56,71,44,0.145
40,2024,12,1506542.89,1270097.15,129,23,0.0771
41,2024,1,891039.48,671197.29,60,18,0.101
41,2024,2,772974.57,624330.61,22,42,0.2243
41,2024,3,890699.45,695673.9,95,19,0.1404
41,2024,4,944078.93,581401.09,68,25,0.1137
41,2024,5,835442.41,570017.8,135,35,0.3365
41,2024,6,806695.43,670146.1,177,9,0.2439
41,2024,7,727358.75,476316.95,87,20,0.0405
41,2024,8,772518.79,548885.07,56,7,0.4285
41,2024,9,879862.72,804352.8,198,13,0.3975
41,2024,10,774324.08,662679.35,136,6,0.0135
41,2024,11,920896.9,587212.4,113,42,0.2997
41,2024,12,776695.64,485042.16,145,22,0.385
42,2024,1,684071.96,407496.81,39,49,0.0086
42,2024,2,716909.68,446191.15,122,32,0.0457
42,2024,3,665802.65,398047.63,157,33,0.0474
42,2024,4,696415.23,681275.77,84,35,0.0607
42,2024,5,742925.9,642702.68,100,27,0.1345
42,2024,6,711915.31,508264.41,132,22,0.0039
42,2024,7,665014.31,457992.68,22,25,0.2808
42,2024,8,751465.45,657594.05,80,12,0.3398
42,2024,9,634624.4,477657.96,95,29,0.0514
42,2024,10,598184.93,579459.45,161,15,0.1355
42,2024,11,683981.27,510644.46,96,30,0.0703
42,2024,12,781212.72,704781.35,94,16,0.0865
43,2024,1,644610.58,428552.11,78,5,0.0671
43,2024,2,545412.87,477774.35,128,14,0.0956
43,2024,3,564552.76,360857.76,108,32,0.1444
43,2024,4,572869.08,373935.41,191,23,0.1382
43,2024,5,551554.83,459460.02,44,38,0.012
43,2024,6,484494.3,357576.54,47,29,0.2001
43,2024,7,616608.59,404587.34,72,36,0.3715
43,2024,8,522175.08,384095.16,96,57,0.22
43,2024,9,560590.28,350622.68,181,39,0.3212
43,2024,10,520924.03,430521.55,154,21,0.2021
43,2024,11,566189.24,487869.66,127,40,0.1199
43,2024,12,614756.66,451678.65,207,22,0.0108
44,2024,1,1246701.98,1071221.39,172,34,0.1727
44,2024,2,1168002.82,744236.5,76,37,0.468
44,2024,3,1037496.38,629950.64,101,38,0.0231
44,2024,4,1071727.29,915946.34,103,7,0.3896
44,2024,5,967668.69,685460.08,96,49,0.1418
44,2024,6,1022826.56,804384.45,45,18,0.2636
44,2024,7,956079.84,618923.95,18,29,0.4324
44,2024,8,1193843.22,1035604.08,22,11,0.3178
44,2024,9,1251414.51,928413.74,193,21,0.4069
44,2024,10,1037145.12,641696.77,187,36,0.1797
44,2024,11,991936.72,647020.26,180,10,0.0372
44,2024,12,1201614.48,804025.49,141,17,0.0216
45,2024,1,1021590.29,845492.38,22,46,0.0072
