applicant_id,year,month,turnover_declared,filing_date,due_date,filing_delay_days,tax_paid
8,2024,3,619481.72,2024-04-23,2024-04-20,3,68253.32
8,2024,4,668821.09,2024-05-24,2024-05-21,3,104913.28
8,2024,5,566075.15,2024-06-25,2024-06-20,5,98647.0
8,2024,6,562692.77,2024-07-25,2024-07-21,4,36089.32
8,2024,7,741159.49,2024-08-24,2024-08-20,4,111377.47
8,2024,8,627886.79,2024-09-24,2024-09-20,4,71741.32
8,2024,9,721649.02,2024-10-21,2024-10-21,0,44575.75
8,2024,10,787147.91,2024-11-24,2024-11-20,4,130150.18
8,2024,11,759348.09,2024-12-25,2024-12-21,4,100763.42
8,2024,12,612371.99,2025-01-20,2025-01-20,0,42299.16
9,2024,1,771506.47,2024-02-21,2024-02-20,1,77688.96
9,2024,2,764745.1,2024-03-22,2024-03-22,0,57689.82
9,2024,3,763717.21,2024-04-21,2024-04-20,1,69618.71
9,2024,4,793956.18,2024-05-22,2024-05-21,1,133953.55
9,2024,5,711014.41,2024-06-22,2024-06-20,2,122744.78
9,2024,6,790921.16,2024-07-25,2024-07-21,4,140574.72
9,2024,7,789263.8,2024-08-24,2024-08-20,4,48624.46
9,2024,8,680351.91,2024-09-27,2024-09-20,7,121262.4
9,2024,9,825597.24,2024-10-24,2024-10-21,3,54970.11
9,2024,10,798673.12,2024-11-30,2024-11-20,10,78269.15
9,2024,11,886087.07,2024-12-22,2024-12-21,1,50424.16
9,2024,12,965280.07,2025-02-05,2025-01-20,16,151257.39
10,2024,1,703839.77,2024-02-24,2024-02-20,4,114400.96
10,2024,2,569488.84,2024-03-25,2024-03-22,3,80462.42
10,2024,3,606105.91,2024-04-23,2024-04-20,3,55371.75
10,2024,4,642910.85,2024-05-25,2024-05-21,4,64036.14
10,2024,5,673467.95,2024-06-21,2024-06-20,1,91674.74
10,2024,6,688110.39,2024-07-24,2024-07-21,3,51243.23
10,2024,7,675927.23,2024-08-23,2024-08-20,3,115031.1
10,2024,8,772813.68,2024-09-22,2024-09-20,2,54139.27
10,2024,9,802339.92,2024-10-25,2024-10-21,4,110007.7
10,2024,10,822303.91,2024-11-25,2024-11-20,5,42794.35
10,2024,11,1152317.16,2024-12-29,2024-12-21,8,123039.32
10,2024,12,1134349.07,2025-01-28,2025-01-20,8,151426.05
11,2024,1,1063125.56,2024-02-20,2024-02-20,0,162191.17
11,2024,2,1147454.69,2024-03-23,2024-03-22,1,120874.65
11,2024,3,1068466.71,2024-04-20,2024-04-20,0,124181.41
11,2024,4,1221177.5,2024-05-24,2024-05-21,3,132505.02
11,2024,5,1169794.51,2024-07-04,2024-06-20,14,86743.58
11,2024,6,1398369.56,2024-07-27,2024-07-21,6,174980.79
11,2024,7,1397301.49,2024-08-26,2024-08-20,6,112870.52
11,2024,8,1305770.92,2024-09-25,2024-09-20,5,135028.35
11,2024,9,1337678.91,2024-10-21,2024-10-21,0,130699.39
11,2024,10,1520398.55,2024-11-28,2024-11-20,8,188315.72
11,2024,11,1398457.1,2024-12-24,2024-12-21,3,90496.07
11,2024,12,1366514.5,2025-01-22,2025-01-20,2,190990.41
12,2024,1,457568.36,2024-02-20,2024-02-20,0,81385.53
12,2024,2,472147.28,2024-03-28,2024-03-22,6,71413.73
12,2024,3,392586.72,2024-04-20,2024-04-20,0,23622.14
12,2024,4,425791.91,2024-05-25,2024-05-21,4,26185.36
12,2024,5,362619.97,2024-06-23,2024-06-20,3,53094.52
12,2024,6,398437.17,2024-07-21,2024-07-21,0,23966.25
12,2024,7,347939.87,2024-09-02,2024-08-20,13,53496.72
12,2024,8,301022.39,2024-09-26,2024-09-20,6,17116.33
12,2024,9,289164.26,2024-10-28,2024-10-21,7,43724.1
12,2024,10,429810.79,2024-11-23,2024-11-20,3,47709.09
12,2024,11,423614.29,2024-12-21,2024-12-21,0,74079.79
12,2024,12,389426.86,2025-01-27,2025-01-20,7,21259.75
13,2024,1,1383999.06,2024-03-04,2024-02-20,13,199996.62
13,2024,2,1364029.84,2024-03-30,2024-03-22,8,79092.33
13,2024,3,1375786.59,2024-04-24,2024-04-20,4,99029.53
13,2024,4,1233500.77,2024-05-21,2024-05-21,0,220485.09
13,2024,5,1494158.46,2024-06-29,2024-06-20,9,195975.63
13,2024,6,1334501.37,2024-07-21,2024-07-21,0,81039.36
13,2024,7,1446530.21,2024-08-25,2024-08-20,5,232439.88
13,2024,8,1363658.26,2024-09-26,2024-09-20,6,91678.8
13,2024,9,1476856.05,2024-10-22,2024-10-21,1,238544.14
13,2024,10,1324848.11,2024-11-22,2024-11-20,2,85454.59
13,2024,11,1361638.01,2025-01-03,2024-12-21,13,172832.87
13,2024,12,1449672.34,2025-01-22,2025-01-20,2,156658.71
14,2024,1,1577116.36,2024-02-23,2024-02-20,3,222532.28
14,2024,2,1671211.1,2024-03-22,2024-03-22,0,257230.07
14,2024,3,2059604.85,2024-04-23,2024-04-20,3,194777.32
14,2024,4,1515781.91,2024-05-22,2024-05-21,1,104375.43
14,2024,5,2049761.49,2024-06-23,2024-06-20,3,143564.35
14,2024,6,1871811.59,2024-07-27,2024-07-21,6,335365.23
14,2024,7,2132503.19,2024-08-30,2024-08-20,10,172590.24
14,2024,8,1822583.01,2024-09-23,2024-09-20,3,242193.41
14,2024,9,1845214.09,2024-11-03,2024-10-21,13,268417.66
14,2024,10,1899791.87,2024-11-26,2024-11-20,6,253610.71
14,2024,11,2123776.36,2024-12-23,2024-12-21,2,138213.81
14,2024,12,1870641.25,2025-01-25,2025-01-20,5,190500.16
15,2024,1,721681.27,2024-02-21,2024-02-20,1,106675.76
15,2024,2,672601.49,2024-03-22,2024-03-22,0,66839.17
15,2024,3,728853.95,2024-04-26,2024-04-20,6,81410.54
15,2024,4,619164.02,2024-05-27,2024-05-21,6,101008.01
15,2024,5,600154.61,2024-06-22,2024-06-20,2,102349.72
15,2024,6,732583.34,2024-07-24,2024-07-21,3,101246.05
15,2024,7,849656.02,2024-08-29,2024-08-20,9,117910.1
15,2024,8,635864.92,2024-09-20,2024-09-20,0,107653.57
15,2024,9,813570.53,2024-10-26,2024-10-21,5,141808.5
15,2024,10,765636.91,2024-11-21,2024-11-20,1,129657.14
15,2024,11,890277.21,2024-12-22,2024-12-21,1,83281.66
15,2024,12,755551.67,2025-01-28,2025-01-20,8,47430.5
16,2024,1,587450.31,2024-02-29,2024-02-20,9,88416.93
16,2024,2,664013.09,2024-03-28,2024-03-22,6,96587.84
16,2024,3,654329.22,2024-06-01,2024-04-20,42,49297.39
16,2024,4,594802.28,2024-06-26,2024-05-21,36,83115.4
16,2024,5,585620.74,2024-07-24,2024-06-20,34,70971.16
16,2024,6,674191.15,2024-08-24,2024-07-21,34,106602.86
16,2024,7,565943.62,2024-09-13,2024-08-20,24,35485.14
16,2024,8,586609.4,2024-10-01,2024-09-20,11,63337.68
16,2024,9,623244.13,2024-11-16,2024-10-21,26,54115.42
16,2024,10,635690.76,2024-12-04,2024-11-20,14,33743.14
16,2024,11,601851.3,2025-01-29,2024-12-21,39,103521.86
16,2024,12,783483.59,2025-02-11,2025-01-20,22,124268.09
17,2024,1,1369088.34,2024-02-20,2024-02-20,0,194478.68
17,2024,2,1204530.5,2024-03-23,2024-03-22,1,194335.71
17,2024,3,1256767.69,2024-04-24,2024-04-20,4,170080.01
17,2024,4,1566550.33,2024-05-31,2024-05-21,10,193608.3
17,2024,5,1610803.23,2024-06-27,2024-06-20,7,268166.86
17,2024,6,1567309.46,2024-07-23,2024-07-21,2,129982.69
17,2024,7,1490056.64,2024-08-22,2024-08-20,2,255848.19
17,2024,8,1561490.6,2024-09-22,2024-09-20,2,265375.95
17,2024,9,1422731.96,2024-10-23,2024-10-21,2,150109.38
17,2024,10,1768944.92,2024-11-21,2024-11-20,1,265491.15
17,2024,11,1453247.31,2024-12-25,2024-12-21,4,103261.34
17,2024,12,1361239.15,2025-01-21,2025-01-20,1,205579.47
18,2024,1,621699.66,2024-03-01,2024-02-20,10,35938.98
18,2024,2,779620.45,2024-03-29,2024-03-22,7,65804.98
18,2024,3,653982.69,2024-05-03,2024-04-20,13,74504.21
18,2024,4,775830.48,2024-05-21,2024-05-21,0,100345.33
18,2024,5,636753.39,2024-06-27,2024-06-20,7,72569.16
18,2024,6,621063.55,2024-07-24,2024-07-21,3,93117.27
18,2024,7,658405.41,2024-09-02,2024-08-20,13,87985.32
18,2024,8,816756.65,2024-09-21,2024-09-20,1,116797.87
18,2024,9,652067.14,2024-10-22,2024-10-21,1,38784.65
18,2024,10,1039471.19,2024-11-20,2024-11-20,0,112226.16
18,2024,11,1130982.18,2024-12-28,2024-12-21,7,150696.12
18,2024,12,1374867.78,2025-01-20,2025-01-20,0,116364.33
19,2024,1,1019192.02,2024-02-25,2024-02-20,5,127096.54
19,2024,2,955545.37,2024-03-31,2024-03-22,9,164533.87
19,2024,3,970683.37,2024-04-22,2024-04-20,2,103559.78
19,2024,4,1139761.63,2024-05-30,2024-05-21,9,172698.75
19,2024,5,1111894.96,2024-06-24,2024-06-20,4,133668.38
19,2024,6,849718.42,2024-07-21,2024-07-21,0,147885.16
19,2024,7,1102450.11,2024-08-23,2024-08-20,3,124211.54
19,2024,8,1083571.74,2024-09-23,2024-09-20,3,185892.68
19,2024,9,984962.7,2024-10-21,2024-10-21,0,136553.89
19,2024,10,1720626.72,2024-11-26,2024-11-20,6,300502.48
19,2024,11,1528445.27,2024-12-23,2024-12-21,2,267356.13
19,2024,12,1451564.87,2025-01-22,2025-01-20,2,217220.95
20,2024,1,1333709.56,2024-03-04,2024-02-20,13,73504.81
20,2024,2,1468297.99,2024-04-02,2024-03-22,11,109873.34
20,2024,3,1648097.55,2024-04-21,2024-04-20,1,274473.99
20,2024,4,1561177.26,2024-05-28,2024-05-21,7,150972.0
20,2024,5,1322808.2,2024-06-26,2024-06-20,6,174958.4
20,2024,6,1779213.84,2024-07-30,2024-07-21,9,121329.19
20,2024,7,1495274.14,2024-08-21,2024-08-20,1,214670.64
20,2024,8,1671285.88,2024-09-26,2024-09-20,6,189858.46
20,2024,9,1524252.72,2024-10-29,2024-10-21,8,183324.57
20,2024,10,1618544.32,2024-11-25,2024-11-20,5,193273.95
20,2024,11,1970961.72,2024-12-23,2024-12-21,2,213671.85
20,2024,12,2032147.65,2025-01-27,2025-01-20,7,111393.29
21,2024,1,629379.31,2024-02-23,2024-02-20,3,34972.02
21,2024,2,537714.88,2024-03-28,2024-03-22,6,83304.66
21,2024,3,663351.41,2024-04-24,2024-04-20,4,72695.45
21,2024,4,650213.98,2024-05-22,2024-05-21,1,106409.6
21,2024,5,586106.78,2024-06-20,2024-06-20,0,73447.94
21,2024,6,691120.53,2024-07-23,2024-07-21,2,37869.33
21,2024,7,551508.25,2024-08-22,2024-08-20,2,74452.57
21,2024,8,651769.56,2024-09-27,2024-09-20,7,110372.27
21,2024,9,583688.87,2024-10-22,2024-10-21,1,82398.53
21,2024,10,603816.82,2024-11-25,2024-11-20,5,43711.73
21,2024,11,565746.48,2024-12-21,2024-12-21,0,50891.08
21,2024,12,760954.34,2025-01-20,2025-01-20,0,83175.35
22,2024,1,464513.75,2024-03-08,2024-02-20,17,72610.01
22,2024,2,394896.79,2024-04-07,2024-03-22,16,45266.49
22,2024,3,504099.2,2024-05-10,2024-04-20,20,39659.72
22,2024,4,504264.84,2024-05-30,2024-05-21,9,53153.29
22,2024,5,561323.84,2024-06-22,2024-06-20,2,99738.86
22,2024,6,521848.76,2024-09-04,2024-07-21,45,48088.65
22,2024,7,564046.09,2024-10-08,2024-08-20,49,70435.66
22,2024,8,458313.19,2024-10-11,2024-09-20,21,72750.58
22,2024,9,563627.39,2024-11-23,2024-10-21,33,84177.54
22,2024,10,766990.33,2024-12-19,2024-11-20,29,50388.9
22,2024,11,719751.3,2025-03-02,2024-12-21,71,101138.34
22,2024,12,828301.03,2025-03-02,2025-01-20,41,141090.99
23,2024,1,344275.73,2024-02-23,2024-02-20,3,55138.4
23,2024,2,401725.24,2024-03-23,2024-03-22,1,60699.08
23,2024,3,331694.49,2024-04-30,2024-04-20,10,37582.9
23,2024,4,354863.44,2024-05-26,2024-05-21,5,26019.89
23,2024,5,361555.37,2024-06-22,2024-06-20,2,48711.72
23,2024,6,459465.46,2024-07-23,2024-07-21,2,47834.44
23,2024,7,467427.55,2024-08-21,2024-08-20,1,70316.6
23,2024,8,454788.13,2024-09-23,2024-09-20,3,34928.11
23,2024,9,489441.07,2024-10-28,2024-10-21,7,57754.68
23,2024,10,455052.25,2024-12-02,2024-11-20,12,78246.98
23,2024,11,479434.47,2024-12-24,2024-12-21,3,26316.52
23,2024,12,441800.54,2025-01-25,2025-01-20,5,50800.61
24,2024,1,1959899.92,2024-02-25,2024-02-20,5,297386.97
24,2024,2,1844118.65,2024-03-23,2024-03-22,1,93301.53
24,2024,3,1805701.68,2024-04-23,2024-04-20,3,117869.01
24,2024,4,1998507.76,2024-05-27,2024-05-21,6,124784.63
24,2024,5,1982594.26,2024-06-25,2024-06-20,5,295300.81
24,2024,6,2076948.43,2024-07-26,2024-07-21,5,163052.7
24,2024,7,2325572.76,2024-08-20,2024-08-20,0,315609.36
24,2024,8,2022216.61,2024-09-25,2024-09-20,5,152037.26
24,2024,9,2386736.53,2024-10-21,2024-10-21,0,331951.35
24,2024,10,2495681.68,2024-11-26,2024-11-20,6,278701.93
24,2024,11,2024486.91,2024-12-26,2024-12-21,5,277594.69
24,2024,12,2031495.36,2025-01-23,2025-01-20,3,271878.9
25,2024,1,916503.15,2024-02-27,2024-02-20,7,85654.83
25,2024,2,1003454.99,2024-03-24,2024-03-22,2,149106.43
25,2024,3,844957.14,2024-04-25,2024-04-20,5,123578.53
25,2024,4,1050742.02,2024-05-31,2024-05-21,10,76562.73
25,2024,5,1078286.37,2024-06-29,2024-06-20,9,121908.88
25,2024,6,865551.45,2024-07-21,2024-07-21,0,143993.39
25,2024,7,1077778.23,2024-08-25,2024-08-20,5,136933.73
25,2024,8,992312.84,2024-09-21,2024-09-20,1,75254.71
25,2024,9,1093678.91,2024-10-25,2024-10-21,4,100989.27
25,2024,10,1158124.89,2024-11-20,2024-11-20,0,107007.48
25,2024,11,988690.39,2024-12-24,2024-12-21,3,144257.07
25,2024,12,1218798.96,2025-01-22,2025-01-20,2,120440.75
26,2024,1,682097.04,2024-02-29,2024-02-20,9,77058.55
26,2024,2,761845.57,2024-03-22,2024-03-22,0,52447.25
26,2024,3,785007.46,2024-04-27,2024-04-20,7,85682.63
26,2024,4,669423.75,2024-05-23,2024-05-21,2,45341.81
26,2024,5,749807.26,2024-06-26,2024-06-20,6,99096.59
26,2024,6,818840.0,2024-07-22,2024-07-21,1,62467.19
26,2024,7,661846.44,2024-08-23,2024-08-20,3,92650.14
26,2024,8,643118.88,2024-10-01,2024-09-20,11,43568.21
26,2024,9,848215.72,2024-10-25,2024-10-21,4,92977.39
26,2024,10,734583.03,2024-11-21,2024-11-20,1,69539.22
26,2024,11,896131.42,2024-12-28,2024-12-21,7,115128.4
26,2024,12,859983.61,2025-01-28,2025-01-20,8,114326.13
27,2024,1,1285978.84,2024-02-27,2024-02-20,7,226483.58
27,2024,2,1633015.77,2024-03-23,2024-03-22,1,100008.6
27,2024,3,1556529.88,2024-04-23,2024-04-20,3,176818.28
27,2024,4,1772707.21,2024-05-21,2024-05-21,0,224966.32
27,2024,5,1689919.6,2024-06-25,2024-06-20,5,145826.9
27,2024,6,1633952.56,2024-07-25,2024-07-21,4,238072.2
27,2024,7,1477295.31,2024-08-28,2024-08-20,8,136721.42
27,2024,8,1734612.26,2024-09-20,2024-09-20,0,287836.25
27,2024,9,1676085.16,2024-10-22,2024-10-21,1,116263.43
27,2024,10,1696464.53,2024-11-21,2024-11-20,1,85943.04
27,2024,11,1893926.38,2024-12-21,2024-12-21,0,104559.18
27,2024,12,1649960.6,2025-01-24,2025-01-20,4,247360.16
28,2024,1,568186.74,2024-02-24,2024-02-20,4,63810.22
28,2024,2,593955.75,2024-03-24,2024-03-22,2,93113.18
28,2024,3,576462.46,2024-05-05,2024-04-20,15,46847.08
28,2024,4,613417.36,2024-05-24,2024-05-21,3,31661.53
28,2024,5,638822.22,2024-06-23,2024-06-20,3,110830.16
28,2024,6,561882.93,2024-07-27,2024-07-21,6,49700.09
28,2024,7,624173.69,2024-08-25,2024-08-20,5,38570.71
28,2024,8,596294.11,2024-09-24,2024-09-20,4,53445.1
28,2024,9,637784.84,2024-10-21,2024-10-21,0,103021.31
28,2024,10,714554.33,2024-11-25,2024-11-20,5,37995.53
28,2024,11,652355.32,2025-01-02,2024-12-21,12,98074.15
28,2024,12,733645.54,2025-01-29,2025-01-20,9,75343.08
29,2024,1,678675.59,2024-02-27,2024-02-20,7,74897.59
29,2024,2,702880.04,2024-03-25,2024-03-22,3,113760.96
29,2024,3,591040.72,2024-04-23,2024-04-20,3,98199.33
29,2024,4,672633.84,2024-05-24,2024-05-21,3,36492.3
29,2024,5,707958.63,2024-06-21,2024-06-20,1,60227.9
29,2024,6,858650.72,2024-08-01,2024-07-21,11,103481.63
29,2024,7,776224.0,2024-08-21,2024-08-20,1,118296.49
29,2024,8,691220.5,2024-09-24,2024-09-20,4,113712.78
29,2024,9,823116.7,2024-10-22,2024-10-21,1,47020.97
29,2024,10,879174.29,2024-11-21,2024-11-20,1,121066.6
29,2024,11,866302.38,2024-12-31,2024-12-21,10,55812.09
29,2024,12,743981.43,2025-01-22,2025-01-20,2,97080.16
30,2024,1,563802.33,2024-02-20,2024-02-20,0,69146.27
30,2024,2,568688.39,2024-03-22,2024-03-22,0,80875.35
30,2024,3,625938.79,2024-04-22,2024-04-20,2,111143.39
30,2024,4,630904.39,2024-05-21,2024-05-21,0,40858.94
30,2024,5,665365.67,2024-06-20,2024-06-20,0,114502.27
30,2024,6,681307.94,2024-07-24,2024-07-21,3,119013.25
30,2024,7,681229.12,2024-08-21,2024-08-20,1,100039.98
30,2024,8,651690.49,2024-09-30,2024-09-20,10,62466.17
30,2024,9,670465.4,2024-10-31,2024-10-21,10,92812.17
30,2024,10,896841.94,2024-11-28,2024-11-20,8,85091.88
30,2024,11,1125499.01,2024-12-30,2024-12-21,9,74229.17
30,2024,12,1254985.85,2025-01-27,2025-01-20,7,149683.68
31,2024,1,673714.47,2024-02-23,2024-02-20,3,103743.61
31,2024,2,749883.95,2024-03-28,2024-03-22,6,116339.59
31,2024,3,739398.32,2024-04-21,2024-04-20,1,43278.16
31,2024,4,757019.49,2024-05-22,2024-05-21,1,82911.53
31,2024,5,596771.61,2024-06-26,2024-06-20,6,99501.5
31,2024,6,703436.99,2024-07-26,2024-07-21,5,122652.33
31,2024,7,659437.25,2024-08-21,2024-08-20,1,56627.56
31,2024,8,810800.0,2024-09-28,2024-09-20,8,92855.03
31,2024,9,852890.88,2024-10-23,2024-10-21,2,100376.21
31,2024,10,770453.32,2024-11-26,2024-11-20,6,67886.2
31,2024,11,873878.0,2024-12-26,2024-12-21,5,105203.15
31,2024,12,709815.6,2025-01-21,2025-01-20,1,67482.9
32,2024,1,736975.65,2024-02-27,2024-02-20,7,64778.08
32,2024,2,596001.24,2024-04-02,2024-03-22,11,97346.78
32,2024,3,684531.03,2024-04-24,2024-04-20,4,118539.1
32,2024,4,765592.96,2024-05-23,2024-05-21,2,79254.13
32,2024,5,704505.31,2024-06-20,2024-06-20,0,94394.31
32,2024,6,744166.48,2024-07-25,2024-07-21,4,94610.68
32,2024,7,805944.17,2024-08-22,2024-08-20,2,128506.2
32,2024,8,746478.36,2024-09-28,2024-09-20,8,66832.73
32,2024,9,683692.49,2024-10-24,2024-10-21,3,104341.92
32,2024,10,1049971.16,2024-11-23,2024-11-20,3,118595.93
32,2024,11,1459534.24,2024-12-22,2024-12-21,1,81954.98
32,2024,12,1246113.14,2025-01-22,2025-01-20,2,89255.59
33,2024,1,2024577.34,2024-02-25,2024-02-20,5,176304.36
33,2024,2,2082619.2,2024-03-27,2024-03-22,5,331372.03
33,2024,3,1987183.88,2024-04-28,2024-04-20,8,271501.53
33,2024,4,1819993.06,2024-05-26,2024-05-21,5,147287.84
33,2024,5,1753186.25,2024-06-24,2024-06-20,4,159822.84
33,2024,6,1817847.44,2024-07-28,2024-07-21,7,152431.84
33,2024,7,1894902.25,2024-08-31,2024-08-20,11,233306.7
33,2024,8,1846370.19,2024-09-28,2024-09-20,8,168393.93
33,2024,9,2030228.4,2024-10-27,2024-10-21,6,199934.74
33,2024,10,2176530.47,2024-11-23,2024-11-20,3,154833.35
33,2024,11,2106859.34,2024-12-21,2024-12-21,0,357442.21
33,2024,12,2144854.77,2025-01-23,2025-01-20,3,246495.72
34,2024,1,720048.03,2024-02-25,2024-02-20,5,65976.8
34,2024,2,609094.71,2024-03-25,2024-03-22,3,88930.48
34,2024,3,854966.05,2024-04-21,2024-04-20,1,79568.68
34,2024,4,786640.98,2024-05-27,2024-05-21,6,87795.73
34,2024,5,709387.85,2024-06-20,2024-06-20,0,122526.35
34,2024,6,861648.2,2024-07-24,2024-07-21,3,107348.08
34,2024,7,694308.51,2024-09-04,2024-08-20,15,85733.28
34,2024,8,875601.64,2024-09-22,2024-09-20,2,94104.16
34,2024,9,846981.12,2024-10-29,2024-10-21,8,122908.2
34,2024,10,961315.15,2024-11-20,2024-11-20,0,65489.62
34,2024,11,840844.12,2024-12-23,2024-12-21,2,75718.59
34,2024,12,891295.61,2025-01-31,2025-01-20,11,141995.87
35,2024,1,402699.3,2024-02-23,2024-02-20,3,23016.03
35,2024,2,522770.15,2024-03-25,2024-03-22,3,65788.58
35,2024,3,453293.47,2024-04-24,2024-04-20,4,77801.69
35,2024,4,452873.37,2024-05-27,2024-05-21,6,23971.19
35,2024,5,516343.19,2024-06-25,2024-06-20,5,55718.36
35,2024,6,550688.91,2024-07-29,2024-07-21,8,33789.72
35,2024,7,529179.9,2024-08-27,2024-08-20,7,39835.87
35,2024,8,477454.51,2024-09-25,2024-09-20,5,61429.35
35,2024,9,595284.35,2024-10-23,2024-10-21,2,100066.17
